country_code,specializations,specialization_type,has_pricing,min_2_bookable_services_with_prices,min_4_bookable_services_with_prices,count
mx,endocrinologist,medical,1,1,1,2
br,cardiologist / nutrologist / general practitioner,medical,1,1,1,1
br,physical therapist,paramedical,1,0,0,7
mx,neonatologist / pediatrician,medical,0,0,0,2
br,endocrinologist / nutritionist,medical,1,0,0,1
br,cardiologist / general practitioner,medical,1,1,0,4
br,psychoanalyst,paramedical,0,0,0,4
br,pediatric rheumatologist / pediatrician,medical,1,0,0,1
br,dermatologist / specialist in aesthetic medicine,medical,1,0,0,2
mx,optometrist,medical,1,1,1,4
mx,complementary therapist / psychoanalyst,paramedical,1,0,0,1
mx,pediatric cardiologist / pediatrician,medical,1,1,1,4
br,endocrinologist / general practitioner,medical,1,1,1,4
br,endocrinologist / nutrologist,medical,1,0,0,1
br,gynecologist / expert doctor,medical,1,0,0,1
mx,specialist in obesity and thinness / general practitioner,paramedical,1,1,1,1
mx,pediatric gastroenterologist / pediatrician,medical,1,1,0,1
br,gastroenterologist,medical,0,0,0,2
br,psychiatrist,,1,0,0,1
mx,periodontologist / dentist,medical,1,1,1,3
mx,cosmetic medicine specialist,medical,0,1,0,1
mx,endodontist,medical,1,0,0,1
mx,urologist / general surgeon,medical,1,1,1,1
br,endocrinologist,medical,0,0,0,4
br,nutrologist / family doctor,medical,1,1,1,2
br,cardiovascular surgeon / general surgeon,medical,1,1,0,1
br,infectologist / family doctor,medical,1,0,0,1
br,family doctor / generalist,medical,1,1,0,1
mx,internist / specialist in obesity and thinness,medical,1,1,1,1
br,radiologist / psychiatrist,medical,1,1,1,1
mx,general practitioner / homeopath,medical,1,1,1,1
br,oncologist,medical,0,0,0,5
mx,oncologist / internist,medical,1,0,0,2
br,ultrasound specialist,medical,1,1,1,1
mx,allergist / immunologist / general practitioner,medical,1,0,0,1
br,vascular surgeon,,1,0,0,1
mx,orthopaedic surgeon / orthopedist / general practitioner,medical,1,0,0,1
br,pediatrician / nutrologist,medical,1,1,1,1
br,cardiologist / pediatrician,medical,1,0,0,1
br,family doctor,,1,1,1,1
mx,infectologist / internist,medical,0,1,1,1
mx,infectologist / internist / general practitioner,medical,1,1,1,1
mx,pediatrician / pediatric gastroenterologist,medical,1,1,1,1
br,psychologist / psychoanalyst / sexologist,paramedical,1,1,1,1
mx,geriatrician / general practitioner,medical,1,1,0,2
br,psychiatrist / family doctor / general practitioner,medical,1,1,0,1
mx,urologist / general surgeon,medical,0,1,0,1
br,hematologist / general practitioner / medical clinic specialist,medical,1,0,0,1
br,angiologist,medical,1,1,1,2
br,acupuncturist / general practitioner,medical,1,0,0,1
mx,general practitioner,,0,1,1,1
mx,orthodontist / dentist / physiotherapist,medical,1,1,1,1
mx,pediatric oncologist / pediatrician / oncologist,medical,0,0,0,1
br,nutrologist / endoscopist,medical,1,0,0,1
mx,orthopaedic surgeon / orthopedist,medical,0,0,0,14
mx,orthopedist / orthopaedic surgeon,paramedical,1,0,0,75
mx,cardiologist,medical,1,0,0,15
br,nutritionist,paramedical,1,1,1,34
mx,dermatologist,medical,0,0,0,9
mx,oncologist surgeon / general surgeon,medical,1,0,0,9
mx,general surgeon,medical,1,0,0,53
br,human reproduction specialist / gynecologist,medical,1,0,0,4
mx,physical medicine and rehabilitation specialist,paramedical,0,1,1,2
br,homeopath,medical,1,0,0,5
mx,physiotherapist,paramedical,1,1,1,41
br,psychologist,paramedical,0,0,0,16
br,orthodontist / dentist,paramedical,1,0,0,1
mx,general practitioner,medical,0,1,1,31
mx,anesthesiologist / general practitioner,paramedical,1,1,1,1
mx,ophthalmologist,medical,1,1,1,20
mx,gynecologist / gynecologist,medical,1,1,0,1
br,cardiologist / internist,medical,1,0,0,2
br,vascular surgeon,medical,1,1,0,1
br,pediatrician,medical,1,0,0,40
mx,nutritionist / nutrologist,paramedical,0,1,1,8
mx,acupuncturist / general practitioner,medical,1,1,1,1
br,nutrologist / oncologist surgeon,medical,1,0,0,1
br,vascular surgeon / general surgeon,medical,1,0,0,1
mx,neurologist / internist,medical,1,1,1,2
br,traumatologist and orthopedist,medical,1,1,0,17
br,complementary therapist / psychoanalyst,paramedical,1,1,1,4
mx,clinical nutritionist / general practitioner,paramedical,1,1,1,1
br,speech therapist,paramedical,0,1,0,1
mx,radiologist,medical,1,1,1,8
br,cardiologist / general practitioner / medical clinic specialist,medical,1,1,1,1
br,urologist,medical,1,1,1,19
mx,geriatrician,medical,1,1,1,9
mx,family doctor,medical,0,1,1,5
br,pediatrician / pediatric rheumatologist,medical,1,1,1,1
br,otolaryngologist,medical,1,1,0,4
mx,pain management specialist / anesthesiologist,medical,1,1,0,1
mx,geriatrician,medical,0,1,0,1
mx,rheumatologist / internist,medical,0,0,0,1
mx,endodontist / dentist,medical,1,1,0,2
mx,pediatric endocrinologist,medical,1,1,1,1
mx,pediatric surgeon / pediatrician,medical,0,1,0,1
br,generalist / dermatologist,medical,1,1,0,1
mx,pediatric dermatologist / pediatrician,medical,1,0,0,1
br,mastologist,medical,1,0,0,7
br,angiologist / vascular surgeon,medical,1,1,1,2
mx,nutritionist,paramedical,1,1,0,2
br,neurosurgeon / neurologist,medical,1,1,1,2
mx,cardiologist / general practitioner,medical,0,1,1,2
mx,gynecologist / general practitioner,medical,0,1,0,1
mx,internist / specialist in critical medicine and intensive care,medical,0,1,0,2
mx,general practitioner / cosmetic medicine specialist,medical,1,1,1,3
br,cardiologist,,1,1,1,2
mx,gastroenterologist / general surgeon,medical,1,0,0,1
br,pain management specialist / anesthesiologist,medical,1,1,1,1
br,psychologist / psychopedagogue,paramedical,1,0,0,1
mx,dentist / periodontologist,medical,0,0,0,1
mx,anesthesiologist / pain management specialist,paramedical,0,0,0,2
mx,orthopedist,paramedical,1,1,1,1
br,occupational therapist,paramedical,1,1,0,1
mx,pediatric cardiologist / specialty in critically ill pediatric medicine,medical,0,0,0,1
br,acupuncturist / radiologist,medical,1,1,1,1
br,family doctor / general practitioner / generalist,medical,1,0,0,1
br,pediatric cardiologist,medical,0,0,0,1
br,psychoanalyst / psychologist,paramedical,1,1,0,2
br,psychiatrist / family doctor / psychoanalyst,medical,1,1,1,1
br,pediatrician / family doctor,medical,1,0,0,1
mx,allergist / immunologist / pediatrician,medical,1,1,0,1
mx,audiologist / phoniatrician,paramedical,1,1,1,2
mx,otorhinolaryngologist,medical,0,1,1,3
br,head and neck surgeon,medical,1,1,1,1
br,ophthalmologist / generalist,medical,1,1,1,1
br,psychiatrist / general practitioner,medical,1,1,0,1
br,pediatric nephrologist / pediatrician,medical,1,0,0,1
mx,nutritionist / specialist in obesity and thinness,paramedical,1,1,1,1
mx,general practitioner / physiotherapist,medical,0,0,0,1
br,general practitioner / internist,medical,1,1,0,1
br,acupuncturist,medical,1,1,0,1
br,endoscopist / gastroenterologist,medical,1,0,0,2
br,ophthalmologist / general practitioner,medical,1,0,0,1
mx,psychiatrist / sexologist,medical,0,1,1,1
br,general practitioner / hematologist,medical,1,0,0,1
mx,podiatrist,paramedical,1,1,1,3
mx,hematologist / internist,medical,1,1,1,1
br,hematologist / general practitioner,medical,1,1,0,1
br,general practitioner / pediatrician,medical,1,0,0,1
br,cardiovascular surgeon / internist,medical,1,0,0,1
mx,nutritionist / clinical nutritionist,paramedical,1,1,0,1
mx,internist / specialist in obesity and thinness / general practitioner,medical,1,1,1,1
mx,clinical geneticist,medical,1,1,1,2
mx,pediatrician / general practitioner,medical,1,1,0,1
br,digestive system surgeon / endoscopist / general surgeon,medical,1,0,0,1
br,gastroenterologist / internist,medical,1,0,0,1
mx,acupuncturist / integrated medicine specialist / general practitioner,medical,0,1,0,1
br,otolaryngologist / homeopath,medical,1,1,0,1
br,homeopath / pediatrician,medical,1,1,1,1
br,pediatrician / pediatric infectologist,medical,1,0,0,1
br,general practitioner / nephrologist,medical,0,1,1,1
br,general practitioner,medical,1,1,1,124
mx,psychologist,paramedical,1,1,1,464
br,dermatologist,medical,1,0,0,50
mx,dentist,medical,1,0,0,77
br,nutrologist,medical,1,1,1,21
br,gynecologist,medical,1,0,0,108
br,psychologist / psychoanalyst,paramedical,1,1,1,50
br,digestive system surgeon,medical,1,0,0,8
mx,pediatric  respiratory physician / pediatrician,medical,1,1,1,5
mx,gynecologist,medical,0,0,0,33
br,traumatologist and orthopedist / pain management specialist,medical,0,0,0,2
br,family doctor,medical,1,1,1,41
mx,neurosurgeon,medical,0,0,0,13
mx,otorhinolaryngologist,medical,1,1,0,10
br,cardiologist / general practitioner,medical,1,1,1,10
mx,anesthesiologist / specialist in critical medicine and intensive care / pain management specialist,paramedical,1,1,1,1
mx,bariatric surgeon / general surgeon,medical,1,0,0,2
br,pulmonologist / medical clinic specialist,medical,1,1,1,1
br,dermatologist / general practitioner,medical,0,0,0,1
br,vascular surgeon,medical,1,0,0,12
br,coloproctologist / general surgeon,medical,1,1,1,2
br,gynecologist / occupational doctor,medical,1,1,0,1
mx,oncologist / general practitioner,medical,1,1,0,1
mx,educational psychologist,paramedical,1,1,1,4
br,plastic surgeon,medical,0,0,0,4
mx,pediatric surgeon,medical,1,1,1,1
mx,endoscopist / general surgeon,medical,1,0,0,1
br,geriatrician / infectologist / medical clinic specialist,medical,1,0,0,1
br,hand surgeon / traumatologist and orthopedist,medical,1,0,0,1
br,orthodontist,paramedical,1,1,1,1
br,general surgeon,medical,0,0,0,2
mx,allergist,medical,1,0,0,2
br,physical educator,paramedical,1,0,0,1
mx,respiratory physician,medical,0,0,0,2
mx,plastic surgeon,medical,0,0,0,6
br,gynecologist / mastologist,medical,1,1,1,1
mx,speech therapist,paramedical,0,0,0,1
mx,dentist / endodontist / periodontologist,medical,0,0,0,1
mx,neurologist,medical,1,1,1,2
br,general practitioner / sexologist,medical,1,1,1,1
mx,psychoanalyst / psychologist,medical,1,1,1,6
br,nephrologist,medical,0,0,0,2
mx,radiologist,medical,0,1,0,2
br,gastroenterologist / general practitioner,medical,1,1,1,2
mx,gynecologist / general practitioner,medical,1,1,1,3
br,geriatrician,,1,0,0,1
br,geriatrician,medical,1,1,0,4
mx,respiratory physician / internist,medical,1,1,1,1
mx,psychologist / psychoanalyst,paramedical,1,1,1,2
mx,nephrologist / diabetologist,medical,0,0,0,1
br,general surgeon / thoracic surgeon,medical,1,1,1,1
br,endocrinologist / pediatric endocrinologist / preventive medicine specialist,medical,1,1,0,1
mx,otorhinolaryngologist / general practitioner,medical,1,0,0,2
br,head and neck surgeon,medical,1,1,0,1
mx,nephrologist / internist,medical,1,1,0,1
br,occupational doctor / general practitioner / generalist,medical,1,1,1,1
mx,neonatologist / pediatrician,medical,1,1,1,2
br,generalist / general practitioner / gastroenterologist,medical,1,1,1,1
br,allergist / pulmonologist,medical,1,1,1,1
mx,pediatrician / pediatric  respiratory physician / general practitioner,medical,0,0,0,1
br,sports medicine specialist,medical,1,1,0,1
mx,infectologist / pediatrician,medical,1,1,0,1
mx,psychologist / psychiatrist,paramedical,1,1,1,1
br,pediatric hematologist,medical,1,0,0,1
mx,internist,,1,1,0,1
mx,internist / geriatrician,medical,0,0,0,1
mx,nutritionist / nutrologist,paramedical,1,1,0,2
br,endocrinologist,medical,0,1,0,1
mx,neurophysiologist / pediatric neurologist / pediatrician,medical,1,1,1,1
mx,pediatric cardiologist,medical,1,1,1,1
mx,general practitioner / occupational doctor,medical,1,1,0,1
mx,vascular surgeon / general surgeon,medical,1,1,0,1
mx,neurosurgeon / general practitioner,medical,0,1,1,1
br,thoracic surgeon,medical,1,1,1,2
mx,cosmetic medicine specialist,medical,0,0,0,1
br,pediatric endocrinologist / pediatrician,medical,0,0,0,2
br,allergist / pediatric allergist,medical,1,1,1,1
br,family doctor / traffic doctor,medical,1,0,0,1
mx,proctologist / general surgeon,medical,0,0,0,1
br,pediatric cardiologist,medical,1,0,0,1
br,nephrologist / internist / general practitioner,medical,1,1,1,1
br,pulmonologist / family doctor,medical,1,1,0,1
br,family doctor,medical,1,1,0,12
br,otolaryngologist,medical,1,0,0,23
mx,gynecologist,medical,1,1,1,75
mx,nutrologist / nutritionist,medical,1,1,1,38
mx,nutrologist / specialist in obesity and thinness,medical,0,0,0,1
br,psychiatrist,medical,1,0,0,140
br,plastic surgeon,medical,1,1,1,12
br,cardiologist,medical,1,1,1,47
mx,cardiologist,medical,1,1,0,5
mx,psychologist / sexologist,paramedical,0,1,1,1
br,general practitioner / generalist,medical,1,0,0,9
br,neurologist,medical,1,1,1,28
mx,pain management specialist / anesthesiologist,medical,1,0,0,4
mx,pediatric dentist,medical,1,0,0,1
mx,family doctor / general practitioner,medical,0,1,1,2
br,dentist / orthodontist,paramedical,1,0,0,1
mx,orthopedist / orthopaedic surgeon,paramedical,1,1,0,9
mx,orthopaedic surgeon / orthopedist,medical,0,1,0,5
br,geriatrician / general practitioner,medical,1,1,1,3
br,family doctor / generalist,medical,1,1,1,2
mx,general surgeon,medical,0,1,1,10
mx,infectologist / internist,medical,1,0,0,2
br,nephrologist,medical,1,1,1,15
mx,cardiologist / internist / general practitioner,medical,1,1,1,1
mx,nutrologist / psychologist,medical,1,1,1,1
mx,audiologist,paramedical,1,1,1,2
br,acupuncturist,medical,1,0,0,4
mx,implantologist / dentist,medical,1,1,1,1
br,anesthesiologist,medical,1,1,1,1
br,pediatric pulmonologist / pediatrician,medical,1,0,0,1
mx,gynecologist / gynecologist,medical,1,0,0,4
mx,nutrologist / nutritionist,medical,1,1,0,9
br,generalist / general practitioner,medical,1,1,1,15
br,general practitioner / psychiatrist,medical,1,1,1,6
br,mastologist,medical,1,1,0,1
mx,physiotherapist,paramedical,0,0,0,14
br,orofacial harmonization specialist,paramedical,1,0,0,1
mx,gynecologist / general practitioner,medical,0,0,0,3
br,urologist,medical,0,0,0,1
mx,optometrist,medical,0,1,1,2
br,physical therapist / psychoanalyst,paramedical,1,0,0,1
br,psychiatrist / general practitioner,medical,1,1,1,3
mx,psychologist / sexologist,paramedical,1,1,1,2
br,allergist,medical,1,1,1,3
mx,nutritionist,paramedical,1,0,0,1
br,gynecologist / homeopath,medical,1,1,1,1
mx,pediatric dentist / dentist,medical,1,1,1,4
mx,geriatrician,medical,0,0,0,7
mx,orthopedist / general practitioner,paramedical,0,1,0,1
br,endocrinologist / family doctor,medical,1,1,1,2
br,pediatric allergist,medical,1,1,1,1
br,gastroenterologist / endoscopist,medical,1,1,1,1
mx,psychoanalyst,medical,1,1,1,2
mx,optometrist,medical,1,0,0,3
br,pulmonologist,medical,1,1,0,6
br,coloproctologist / general surgeon,medical,0,0,0,1
br,pain management specialist / anesthesiologist / acupuncturist,medical,1,0,0,1
mx,general practitioner / ophthalmologist,medical,1,1,0,1
br,general practitioner / family doctor / generalist,medical,1,1,0,1
mx,endodontist / dentist,medical,1,0,0,3
mx,anesthesiologist,paramedical,1,0,0,1
br,pediatric gastroenterologist / pediatrician,medical,1,1,1,1
mx,pediatric surgeon,medical,1,1,0,1
br,medical clinic specialist / internist,medical,1,1,0,1
br,nutrologist / endocrinologist,medical,1,0,0,1
br,radiologist / diagnostic radiologist,medical,1,1,1,1
mx,clinical nutritionist / nutritionist / nutrologist,paramedical,1,1,1,3
br,endoscopist / general surgeon,medical,1,0,0,1
br,traumatologist and orthopedist / ultrasound specialist,medical,1,1,1,1
mx,dermatologist / emergency medicine specialist,medical,1,0,0,1
mx,hematologist / general practitioner / internist,medical,1,0,0,1
br,psychiatrist / nutrologist / generalist,medical,1,1,1,1
mx,respiratory physician / general practitioner,medical,0,1,1,1
br,intensive medicine specialist / generalist,medical,1,1,1,1
br,chiropractor / physical therapist / osteopath,paramedical,1,1,0,1
br,hand surgeon / traumatologist and orthopedist,medical,1,1,0,1
mx,general surgeon / endoscopist / general practitioner,medical,0,0,0,1
mx,geriatrician / general practitioner,medical,0,1,1,1
br,nutrologist / family doctor / general practitioner,medical,1,1,1,1
mx,internist / nephrologist,medical,1,1,1,1
mx,pediatrician / allergist,medical,0,0,0,1
br,gynecologist / expert doctor / occupational doctor,medical,1,1,0,1
mx,integrated medicine specialist / general practitioner,paramedical,1,1,1,1
mx,pediatric hematologist / pediatrician,medical,0,0,0,1
br,occupational therapist,paramedical,1,0,0,1
mx,pediatrician / general practitioner,medical,1,0,0,1
mx,specialist in obesity and thinness / family doctor,paramedical,1,1,1,1
br,traumatologist and orthopedist / occupational doctor,medical,1,0,0,1
br,geriatrician / medical clinic specialist,medical,1,0,0,1
br,specialist in aesthetic medicine / dermatologist,medical,1,0,0,1
br,hematologist / general practitioner,medical,1,0,0,1
br,diagnostic radiologist / gynecologist,medical,1,1,0,1
br,medical clinic specialist / general practitioner / internist,medical,1,1,0,1
mx,allergist / internist,medical,1,0,0,1
mx,family doctor,medical,0,0,0,3
br,psychologist,paramedical,1,1,0,74
mx,orthopedist / orthopaedic surgeon,paramedical,0,0,0,25
br,dentist / orthodontist,paramedical,1,1,1,1
mx,physiotherapist,paramedical,1,0,0,19
br,psychiatrist,medical,1,1,1,172
br,general practitioner / generalist,medical,1,1,1,12
br,gynecologist,medical,1,1,0,27
mx,radiation oncologist / radiotherapist,medical,1,0,0,3
mx,geriatrician,medical,0,1,1,3
mx,psychiatrist,medical,1,1,0,7
br,pediatric cardiologist,medical,1,1,0,1
br,endocrinologist / medical clinic specialist,medical,1,0,0,2
br,nutritionist / physical educator,paramedical,1,1,1,1
mx,allergist / immunologist,medical,1,0,0,2
br,pediatric neurologist,medical,1,0,0,7
mx,pediatric gastroenterologist / pediatrician,medical,0,0,0,1
mx,dentist,medical,1,1,0,19
mx,gastroenterologist,medical,0,1,1,3
br,oral and maxillofacial surgeon,paramedical,1,1,1,1
mx,respiratory physician,medical,0,1,1,1
br,neurosurgeon,medical,1,1,1,5
br,complementary therapist,paramedical,1,0,0,5
mx,orthodontist / dentist,medical,1,1,1,20
mx,bariatric surgeon / general surgeon,medical,1,1,1,2
mx,hematologist,medical,1,1,0,3
br,endocrinologist / occupational doctor / general practitioner,medical,1,1,1,1
br,cardiologist,medical,1,1,0,9
br,occupational therapist,paramedical,1,1,1,3
mx,plastic surgeon / cosmetic surgeon,medical,1,1,1,1
br,oral and maxillofacial surgeon / dentist,paramedical,1,0,0,1
br,acupuncturist,medical,1,1,1,1
br,geriatrician / medical clinic specialist,medical,1,1,1,4
mx,specialist in critical medicine and intensive care / general practitioner,paramedical,1,1,0,1
mx,plastic surgeon,medical,0,1,0,2
mx,psychoanalyst / psychologist,medical,1,0,0,1
br,family doctor / psychiatrist / nutrologist,medical,1,0,0,1
mx,specialist in critical medicine and intensive care / emergency medicine specialist / general practitioner,paramedical,1,1,1,1
mx,pediatric surgeon / pediatrician,medical,0,1,1,1
mx,psychologist / sexologist,paramedical,0,1,0,1
mx,general surgeon / general practitioner,medical,1,1,1,2
br,specialist in aesthetic medicine / medical clinic specialist,medical,1,0,0,1
mx,internist / clinical nutritionist,medical,1,1,1,1
mx,clinical geneticist,medical,1,0,0,2
br,family doctor,medical,0,0,0,2
mx,neonatologist / pediatrician,medical,0,1,1,2
mx,infectologist / pediatrician,medical,0,0,0,1
mx,chiropractor,paramedical,1,0,0,4
mx,endoscopist / general surgeon / bariatric surgeon,medical,1,1,1,1
mx,vascular surgeon / general surgeon / angiologist,medical,0,1,0,1
br,dermatologist,medical,0,0,0,3
br,pediatric gastroenterologist / pediatric nutritionist,medical,1,0,0,1
mx,radiologist,medical,1,0,0,3
br,rheumatologist / generalist,medical,1,1,0,1
br,general surgeon / oncologist surgeon,medical,1,0,0,2
mx,dentist / orthodontist,medical,0,0,0,4
mx,rheumatologist,medical,1,1,1,3
mx,cosmetic medicine specialist / general practitioner,medical,1,1,1,2
mx,neonatologist / pediatrician,medical,1,0,0,1
br,psychiatrist / family doctor,medical,1,0,0,5
br,otolaryngologist / sleep doctor,medical,1,1,1,1
br,pediatric allergist,medical,1,1,0,1
mx,thoracic surgeon,medical,0,0,0,1
br,endocrinologist,medical,0,1,1,1
br,endocrinologist / nutrologist,medical,1,1,1,2
br,neurologist / sleep doctor / neurophysiologist,medical,1,1,1,1
br,endocrinologist / generalist,medical,1,1,1,1
br,nutrologist / psychiatrist,medical,1,1,1,1
br,geriatrician,medical,0,0,0,1
br,cardiovascular surgeon / general surgeon,medical,1,1,1,1
br,psychiatrist / medical clinic specialist / diagnostic radiologist,medical,1,0,0,1
br,pediatrician / ophthalmologist / pain management specialist,medical,1,0,0,1
br,pediatric hematologist,medical,1,1,1,1
mx,geriatrician / general practitioner,medical,0,1,0,1
br,neurosurgeon / neurologist,medical,1,0,0,1
br,pediatric cardiologist / pediatrician,medical,1,1,1,2
br,nephrologist / medical clinic specialist,medical,1,1,1,2
mx,cardiologist,medical,0,1,0,1
mx,internist / rheumatologist,medical,0,0,0,1
mx,nutritionist / specialist in obesity and thinness / general practitioner,paramedical,1,0,0,1
br,pediatrician / allergist,medical,1,0,0,1
mx,anesthesiologist / cosmetic medicine specialist,paramedical,0,1,1,1
mx,cardiologist / internist,medical,1,1,0,2
mx,pain management specialist / anesthesiologist,medical,1,1,1,3
mx,nutritionist / nutrologist,paramedical,0,0,0,1
mx,pediatric rheumatologist / pediatrician,medical,1,0,0,1
br,pain management specialist / anesthesiologist,medical,1,0,0,1
br,nutrologist / medical clinic specialist,medical,1,0,0,1
mx,speech therapist,paramedical,0,1,1,1
br,preventive medicine specialist / dermatologist,medical,1,1,1,1
br,family doctor / geriatrician,medical,1,1,1,1
mx,physical medicine and rehabilitation specialist,paramedical,0,0,0,2
mx,nephrologist / internist / general practitioner,medical,0,0,0,1
mx,pediatrician / pediatric gastroenterologist,medical,0,1,0,1
br,family doctor / generalist / general practitioner,medical,1,0,0,1
mx,oncologist surgeon / general surgeon,medical,0,0,0,5
mx,orthopedist / orthopaedic surgeon / general practitioner,paramedical,1,0,0,3
mx,respiratory physician,medical,1,1,0,6
br,urologist / general surgeon,medical,1,1,1,3
mx,oncologist,medical,0,1,1,1
mx,pediatrician,medical,1,0,0,31
mx,nutrologist / nutritionist,medical,1,0,0,15
br,psychologist / psychoanalyst,paramedical,1,0,0,9
mx,internist,medical,1,1,0,22
br,coloproctologist,medical,1,0,0,6
mx,cardiovascular and thoracic surgeon / general surgeon / general practitioner,medical,1,1,1,1
br,complementary therapist,paramedical,1,1,1,11
br,thoracic surgeon,medical,1,0,0,6
mx,pediatric surgeon,medical,1,0,0,7
mx,psychologist,paramedical,1,0,0,66
mx,urologist,medical,1,1,0,4
mx,gynecologist,medical,1,1,0,17
br,sexologist,medical,1,1,1,2
br,gastroenterologist,medical,1,0,0,19
br,pulmonologist,medical,1,0,0,8
mx,chiropractor,paramedical,1,1,1,2
br,family doctor,medical,1,0,0,25
br,dermatologist / oncologist,medical,1,1,1,1
mx,allergist,medical,0,0,0,1
br,allergist,medical,1,0,0,3
mx,gastroenterologist / internist / general practitioner,medical,1,1,1,1
mx,oncologist surgeon / general surgeon / general practitioner,medical,1,0,0,1
br,coloproctologist / general surgeon,medical,1,0,0,3
br,nephrologist,medical,1,1,0,2
mx,dentist / orthodontist,medical,1,1,1,11
mx,orthopedist,paramedical,1,0,0,4
mx,maxillofacial surgeon / dentist / implantologist,medical,1,0,0,1
br,mastologist / general practitioner,medical,0,0,0,1
mx,homeopath,medical,1,0,0,2
br,general practitioner / nutrologist,medical,1,1,1,1
